time,seconds_elapsed,z,y,x
1667255160676135400,0.002135498046875,0.4367683231830597,-0.19853104650974274,0.8729257583618164
1667255160678614800,0.00461474609375,0.45875945687294006,-0.17837251722812653,0.8900299668312073
1667255160681094100,0.00709423828125,0.4825831651687622,-0.16065743565559387,0.9101884961128235
1667255160683573200,0.0095732421875,0.5149590373039246,-0.1545487940311432,0.9272927641868591
1667255160686052600,0.012052490234375,0.5913171172142029,-0.23457208275794983,0.9297361969947815
1667255160688531700,0.01453173828125,0.6835576891899109,-0.3481929302215576,0.9285144805908203
1667255160691011000,0.017010986328125,0.7770199775695801,-0.45387253165245056,0.9407317638397217
1667255160693490400,0.019490478515625,0.8662062287330627,-0.5277871489524841,0.9694424271583557
1667255160695969500,0.021969482421875,0.943786084651947,-0.5766563415527344,1.008537769317627
1667255160698449000,0.024448974609375,1.0012073516845703,-0.6133082509040833,1.0586286783218384
1667255160700928300,0.02692822265625,1.0341941118240356,-0.646905779838562,1.1209368705749512
1667255160703407400,0.029407470703125,1.043357014656067,-0.6780598759651184,1.1850776672363281
1667255160705886700,0.03188671875,1.0299180746078491,-0.7153226733207703,1.2516618967056274
1667255160708365800,0.03436572265625,0.998153030872345,-0.7696896195411682,1.3194679021835327
1667255160710845200,0.03684521484375,0.9596685767173767,-0.8484911918640137,1.3829978704452515
1667255160713324500,0.039324462890625,0.9120211005210876,-0.9462295174598694,1.4489712715148926
1667255160715803600,0.0418037109375,0.8643736839294434,-1.0580178499221802,1.5137228965759277
1667255160718283000,0.044282958984375,0.8155044913291931,-1.174692988395691,1.5790854692459106
1667255160720762400,0.046762451171875,0.7703005075454712,-1.3023637533187866,1.6420044898986816
1667255160723241500,0.049241455078125,0.7312051653862,-1.4440842866897583,1.7055344581604004
1667255160725720800,0.051720947265625,0.7012727856636047,-1.5845832824707031,1.7708970308303833
1667255160728200000,0.054199951171875,0.685390293598175,-1.729358196258545,1.833205223083496
1667255160730679300,0.05667919921875,0.6823359727859497,-1.8729114532470703,1.8985676765441895
1667255160733158700,0.05915869140625,0.6896663308143616,-2.011577606201172,1.9633194208145142
1667255160735637800,0.0616376953125,0.7073814272880554,-2.151465654373169,2.0305144786834717
1667255160738117000,0.0641171875,0.7336485981941223,-2.2925755977630615,2.092211961746216
1667255160740596200,0.06659619140625,0.7660244107246399,-2.433685302734375,2.151465654373169
1667255160743075600,0.06907568359375,0.8057306408882141,-2.587623119354248,2.210108757019043
1667255160745555000,0.071554931640625,0.8497129082679749,-2.8063127994537354,2.2589778900146484
1667255160748034000,0.074033935546875,0.8979712128639221,-3.1331255435943604,2.288910388946533
1667255160750513400,0.076513427734375,0.9321796298027039,-3.4135124683380127,2.3121232986450195
1667255160752992800,0.07899267578125,0.943786084651947,-3.612654209136963,2.344499111175537
1667255160755472000,0.081471923828125,0.9224058389663696,-3.8264570236206055,2.371987819671631
1667255160757951200,0.083951171875,0.8759800791740417,-4.021322727203369,2.395200729370117
1667255160760430300,0.086430419921875,0.7904590368270874,-4.1312785148620605,2.413526773452759
1667255160762909700,0.08890966796875,0.6713404059410095,-4.155102252960205,2.434296131134033
1667255160765389000,0.09138916015625,0.5131264328956604,-4.072024822235107,2.4520111083984375
1667255160767868200,0.0938681640625,0.318871408700943,-3.8490588665008545,2.464839458465576
1667255160770347500,0.096347412109375,0.1026252806186676,-3.464824914932251,2.472780704498291
1667255160772827000,0.098826904296875,-0.11972949653863907,-2.955974578857422,2.4654502868652344
1667255160775306000,0.101305908203125,-0.32620179653167725,-2.3542728424072266,2.431241750717163
1667255160777785300,0.103785400390625,-0.48075059056282043,-1.7067562341690063,2.358548879623413
1667255160780264400,0.106264404296875,-0.5479456782341003,-1.1068869829177856,2.2314889430999756
1667255160782743800,0.108743896484375,-0.5192350745201111,-0.6322450637817383,2.045786142349243
1667255160785223200,0.11122314453125,-0.39889469742774963,-0.2877173125743866,1.8044945001602173
1667255160787702300,0.113702392578125,-0.21380266547203064,-0.0409279391169548,1.5234967470169067
1667255160790181600,0.116181640625,0.001832594396546483,0.1490510106086731,1.2119556665420532
1667255160792660700,0.11866064453125,0.21258094906806946,0.31520622968673706,0.8900299668312073
1667255160795140000,0.12114013671875,0.39400777220726013,0.4776962697505951,0.5760455131530762
1667255160797619500,0.123619384765625,0.5247328281402588,0.6524035930633545,0.2877173125743866
1667255160800098600,0.1260986328125,0.6017017960548401,0.8436042666435242,0.03481929376721382
1667255160802578000,0.128577880859375,0.6267472505569458,1.043357014656067,-0.17898337543010712
1667255160805057300,0.131057373046875,0.6084213256835938,1.250440239906311,-0.35246896743774414
1667255160807536400,0.133536376953125,0.5607738494873047,1.4489712715148926,-0.4886918365955353
1667255160810015700,0.136015625,0.4984656572341919,1.619402527809143,-0.5974257588386536
1667255160812494800,0.138494873046875,0.42455101013183594,1.757457971572876,-0.6792816519737244
1667255160814974200,0.14097412109375,0.35185810923576355,1.8643592596054077,-0.740368127822876
1667255160817453600,0.14345361328125,0.2883281707763672,1.944993495941162,-0.7825177907943726
1667255160819932700,0.1459326171875,0.23823726177215576,1.99936044216156,-0.8063415288925171
1667255160822412000,0.148412109375,0.2052505612373352,2.0329580307006836,-0.8179479241371155
1667255160824891100,0.15089111328125,0.18753549456596375,2.051283836364746,-0.8222240209579468
1667255160827370500,0.15337060546875,0.18081597983837128,2.059225082397461,-0.813671886920929
1667255160829849900,0.155849853515625,0.17898337543010712,2.064723014831543,-0.80389803647995
1667255160832329000,0.158328857421875,0.17776164412498474,2.0830488204956055,-0.7965676784515381
