time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1667255160672454400,-0.001545654296875,0.707011878490448,-0.020818814635276794,0.47083526849746704,0.5272712111473083,-0.891127347946167,-0.48598265647888184,-2.0956950187683105
1667255160677412900,0.003412841796875,0.7093310356140137,-0.019311707466840744,0.4712940454483032,0.5237923860549927,-0.8925705552101135,-0.48513033986091614,-2.1051716804504395
1667255160682371300,0.008371337890625,0.7163224220275879,-0.013659760355949402,0.4719350039958954,0.5137830376625061,-0.894237756729126,-0.48405805230140686,-2.1328253746032715
1667255160687330000,0.013330078125,0.7181938886642456,-0.012854139320552349,0.473096638917923,0.5101097226142883,-0.8979092240333557,-0.4827299118041992,-2.142509698867798
1667255160692288500,0.01828857421875,0.718263566493988,-0.013206306844949722,0.4755803048610687,0.5076873302459717,-0.904849648475647,-0.48241621255874634,-2.1490116119384766
1667255160697247000,0.0232470703125,0.718216061592102,-0.013494937680661678,0.477925568819046,0.5055400729179382,-0.911314845085144,-0.4823208153247833,-2.154834508895874
1667255160702205400,0.028205322265625,0.7180233001708984,-0.013617773540318012,0.4807676076889038,0.5031099319458008,-0.9189189672470093,-0.4827336370944977,-2.161618232727051
1667255160707164200,0.0331640625,0.716297447681427,-0.014686672948300838,0.4842991232872009,0.5021520256996155,-0.9281434416770935,-0.4840226471424103,-2.1646127700805664
1667255160712122600,0.03812255859375,0.7146895527839661,-0.015351677313446999,0.4886539578437805,0.5002004504203796,-0.9394261240959167,-0.48578929901123047,-2.170536756515503
1667255160717081000,0.0430810546875,0.7113963961601257,-0.01732049137353897,0.4938194453716278,0.4997574985027313,-0.9528871178627014,-0.4880862534046173,-2.1724088191986084
1667255160722039600,0.04803955078125,0.7088790535926819,-0.018261656165122986,0.499554842710495,0.49759620428085327,-0.9677541255950928,-0.490721732378006,-2.1792259216308594
1667255160726998000,0.052998046875,0.704418420791626,-0.020819513127207756,0.505699098110199,0.4976239800453186,-0.9838414788246155,-0.493787944316864,-2.1800191402435303
1667255160731956700,0.057956787109375,0.7015801668167114,-0.021525392308831215,0.5122746229171753,0.49487030506134033,-1.0009526014328003,-0.4970281720161438,-2.1887683868408203
1667255160736915200,0.062915283203125,0.698866069316864,-0.022115953266620636,0.519089937210083,0.49157172441482544,-1.0189073085784912,-0.5000024437904358,-2.198983669281006
1667255160741873700,0.067873779296875,0.6964256763458252,-0.022519752383232117,0.5261674523353577,0.48747503757476807,-1.0378285646438599,-0.5025026798248291,-2.211296796798706
1667255160746832100,0.07283203125,0.6920831203460693,-0.02503207139670849,0.5342336297035217,0.4847564399242401,-1.0600659847259521,-0.5044177770614624,-2.2192978858947754
1667255160751790800,0.077790771484375,0.6856490969657898,-0.02946086972951889,0.5455460548400879,0.4810372591018677,-1.0920182466506958,-0.5057415962219238,-2.229503870010376
1667255160756749300,0.082749267578125,0.6792234182357788,-0.03430134430527687,0.5566413402557373,0.47710520029067993,-1.1240220069885254,-0.5058559775352478,-2.2395927906036377
1667255160761707800,0.087707763671875,0.6733924150466919,-0.03808791935443878,0.5679140090942383,0.4717685878276825,-1.1566075086593628,-0.5058506727218628,-2.2536263465881348
1667255160766666200,0.092666259765625,0.6676884889602661,-0.04130980744957924,0.5777990818023682,0.46758291125297546,-1.1851942539215088,-0.5065619349479675,-2.264836311340332
1667255160771625000,0.097625,0.6658434271812439,-0.039605800062417984,0.5847066044807434,0.46173813939094543,-1.2041007280349731,-0.5089037418365479,-2.2826485633850098
1667255160776583400,0.10258349609375,0.6668932437896729,-0.0345226414501667,0.5874629616737366,0.457109272480011,-1.2101725339889526,-0.5132644772529602,-2.298914909362793
1667255160781542000,0.1075419921875,0.6708360910415649,-0.026434017345309258,0.5873807668685913,0.45195576548576355,-1.2076246738433838,-0.5183809399604797,-2.3176348209381104
1667255160786500400,0.112500244140625,0.6721004843711853,-0.022350087761878967,0.5872734189033508,0.4504345953464508,-1.2059314250946045,-0.5224601030349731,-2.3247687816619873
1667255160791459000,0.117458984375,0.6719275116920471,-0.020677804946899414,0.5882811546325684,0.44945651292800903,-1.2081704139709473,-0.5247834324836731,-2.3290562629699707
1667255160796417500,0.12241748046875,0.6702196598052979,-0.021804355084896088,0.5892120003700256,0.4507320821285248,-1.2107692956924438,-0.525824248790741,-2.3258233070373535
1667255160801376000,0.1273759765625,0.6689093112945557,-0.02356541156768799,0.5892340540885925,0.45255744457244873,-1.2110631465911865,-0.5256764888763428,-2.320268392562866
1667255160806334500,0.13233447265625,0.6683269143104553,-0.025620123371481895,0.5880087614059448,0.4548938274383545,-1.2080219984054565,-0.5244278907775879,-2.3126120567321777
1667255160811293200,0.137293212890625,0.66916823387146,-0.026709673926234245,0.5856261849403381,0.45666441321372986,-1.2016551494598389,-0.5225861072540283,-2.306424379348755
1667255160816251600,0.142251708984375,0.670925498008728,-0.02699352614581585,0.5823937654495239,0.458200603723526,-1.1927638053894043,-0.5206972360610962,-2.301037549972534
1667255160821210000,0.147210205078125,0.6732261180877686,-0.026745667681097984,0.5784792304039001,0.4597967267036438,-1.181846022605896,-0.518933117389679,-2.295658588409424
1667255160826168600,0.15216845703125,0.6755965352058411,-0.026535911485552788,0.5741491913795471,0.4617551863193512,-1.1698015928268433,-0.5171186327934265,-2.28924822807312
1667255160831127300,0.157127197265625,0.6784874200820923,-0.025598278269171715,0.5696729421615601,0.4631114602088928,-1.1572692394256592,-0.5154287219047546,-2.284738063812256
